City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Aklavik,CA,68.2191,-135.0107,-3.17,84,75,4.61,broken clouds
170,Manoharpur,IN,27.3,75.95,52.75,32,14,3.51,few clouds
171,Ayan,RU,56.45,138.1667,16.18,58,70,17.67,broken clouds
172,Maralal,KE,1.0968,36.698,57.92,82,25,4.94,scattered clouds
173,Khani,GE,41.9563,42.9566,38.77,86,21,5.68,few clouds
174,Dunda,TZ,-8.1167,34.25,70.56,49,86,2.01,overcast clouds
175,Dzhebariki-Khaya,RU,62.2167,135.8,-24.21,100,71,1.28,broken clouds
176,Rio Gallegos,AR,-51.6226,-69.2181,57.25,38,75,20.71,broken clouds
177,Georgetown,MY,5.4112,100.3354,80.53,89,20,0.0,few clouds
178,Camacha,PT,33.0833,-16.3333,65.16,59,40,12.66,scattered clouds
179,Coquimbo,CL,-29.9533,-71.3436,56.93,82,0,10.36,clear sky
180,Qaqortoq,GL,60.7167,-46.0333,10.9,61,88,6.53,overcast clouds
181,Pangody,RU,65.85,74.4859,-8.97,100,95,4.47,overcast clouds
182,Bathsheba,BB,13.2167,-59.5167,79.41,78,20,13.8,few clouds
183,Kaitong,CN,44.8135,123.15,29.68,89,22,14.14,few clouds
184,Ust-Barguzin,RU,53.45,108.9833,27.93,67,100,7.34,overcast clouds
185,Hasaki,JP,35.7333,140.8333,57.6,62,100,16.04,overcast clouds
186,Phangnga,TH,8.4509,98.5298,81.91,95,100,3.33,overcast clouds
187,Sovetskiy,RU,61.3614,63.5842,15.39,90,100,11.65,overcast clouds
188,Wanaka,NZ,-44.7,169.15,56.34,55,98,8.14,overcast clouds
189,Rozivka,UA,46.9385,35.7724,30.18,74,0,10.63,clear sky
190,Nanortalik,GL,60.1432,-45.2371,26.28,59,99,14.45,overcast clouds
191,Corralillo,CU,22.9819,-80.5856,77.14,76,89,17.92,overcast clouds
192,Waddan,LY,29.1614,16.139,64.38,60,0,11.9,clear sky
193,Takab,IR,36.4009,47.1133,31.35,83,45,2.42,scattered clouds
194,Luderitz,NA,-26.6481,15.1594,62.6,75,6,18.84,clear sky
195,Zambezi,ZM,-13.5432,23.1047,66.16,81,78,4.97,broken clouds
196,Mar Del Plata,AR,-38.0023,-57.5575,52.88,68,20,5.01,few clouds
197,Lusambo,CD,-4.9667,23.45,69.15,100,100,1.88,moderate rain
198,Coihaique,CL,-45.5752,-72.0662,53.55,32,75,11.5,broken clouds
199,Huangmei,CN,30.1924,116.025,57.74,54,75,3.2,broken clouds
200,Saint Marys,US,30.7305,-81.5465,64.06,82,1,0.0,clear sky
201,Vao,NC,-22.6667,167.4833,76.96,75,98,11.7,overcast clouds
202,Vanimo,PG,-2.6741,141.3028,81.09,85,97,1.86,overcast clouds
203,Ilulissat,GL,69.2167,-51.1,-7.13,73,15,7.58,few clouds
204,Athabasca,CA,54.7169,-113.2854,21.02,85,100,15.5,overcast clouds
205,Manzhouli,CN,49.6,117.4333,23.13,78,98,2.35,overcast clouds
206,Khuzhir,RU,53.1939,107.3397,27.39,63,100,14.18,overcast clouds
207,Mezen,RU,65.8522,44.24,9.99,91,18,1.36,few clouds
208,Saskylakh,RU,71.9167,114.0833,-30.53,100,43,3.98,scattered clouds
209,Araouane,ML,18.9048,-3.5265,72.05,14,57,7.11,broken clouds
210,Hobyo,SO,5.3505,48.5268,78.89,68,100,7.9,overcast clouds
211,Kavieng,PG,-2.5744,150.7967,84.4,71,97,7.74,light rain
212,Tigre,AR,-34.426,-58.5796,62.6,55,0,11.5,clear sky
213,Januaria,BR,-15.4833,-44.3667,69.93,78,60,6.31,light rain
214,Lazarev,RU,52.225,141.5131,22.59,56,8,18.43,clear sky
215,Shalya,RU,57.2471,58.7298,20.66,93,100,10.13,light snow
216,Quatre Cocos,MU,-20.2078,57.7625,74.08,63,23,8.68,few clouds
217,Tazovskiy,RU,67.4667,78.7,5.05,94,100,16.62,light snow
218,Ilanskiy,RU,56.2358,96.065,14.32,97,100,4.16,overcast clouds
219,Takaka,NZ,-40.85,172.8,63.28,46,2,13.13,clear sky
220,Sao Filipe,CV,14.8961,-24.4956,76.23,79,99,5.55,overcast clouds
221,Alekseyevsk,RU,57.8406,108.3492,19.18,97,100,2.59,light snow
222,Sitka,US,57.0531,-135.33,39.09,87,90,17.27,moderate rain
223,Upernavik,GL,72.7868,-56.1549,0.63,62,19,6.58,few clouds
224,Nantucket,US,41.2835,-70.0995,46.51,53,1,11.5,clear sky
225,Copiapo,CL,-27.3667,-70.3333,55.09,55,0,4.74,clear sky
226,Masyaf,SY,35.0653,36.3406,50.05,40,32,1.77,scattered clouds
227,Hurghada,EG,27.2574,33.8129,72.25,50,80,10.83,broken clouds
228,Yellowknife,CA,62.456,-114.3525,14.52,96,90,8.05,light snow
229,Farim,GW,12.4839,-15.2217,77.29,75,81,5.03,broken clouds
230,Husavik,IS,66.0449,-17.3389,31.91,86,99,25.23,snow
231,Fare,PF,-16.7,-151.0167,80.96,78,100,15.75,overcast clouds
232,Ancud,CL,-41.8697,-73.8203,51.42,74,82,3.04,broken clouds
233,Vikhorevka,RU,56.1201,101.1636,15.39,99,91,1.95,overcast clouds
234,Nakamura,JP,32.9833,132.9333,58.82,60,0,3.11,clear sky
235,Mogadishu,SO,2.0371,45.3438,78.84,81,94,7.92,overcast clouds
236,Cap Malheureux,MU,-19.9842,57.6142,74.46,73,26,1.01,scattered clouds
237,Sabang,ID,5.8933,95.3214,81.81,74,99,15.84,overcast clouds
238,Kalabo,ZM,-14.97,22.6814,77.31,47,87,11.74,overcast clouds
239,Papagaios,BR,-19.4492,-44.7478,67.23,78,100,7.0,overcast clouds
240,Te Anau,NZ,-45.4167,167.7167,50.79,80,99,3.6,overcast clouds
241,Mnogovershinnyy,RU,53.9353,139.9242,18.16,73,80,16.67,broken clouds
242,Lucapa,AO,-8.4192,20.7447,63.72,98,95,2.15,overcast clouds
243,Toba,JP,34.4833,136.85,57.2,67,1,13.4,clear sky
244,Bismarck,US,46.8083,-100.7837,44.44,43,1,17.27,clear sky
245,Axim,GH,4.8699,-2.2405,78.51,84,19,7.11,moderate rain
246,Qianguo,CN,45.1171,124.8568,30.52,88,9,14.34,clear sky
247,Tasiilaq,GL,65.6145,-37.6368,26.76,63,14,5.21,few clouds
248,Saint-Augustin,CA,51.226,-58.6502,35.17,84,100,11.61,overcast clouds
249,Norman Wells,CA,65.282,-126.8329,-2.16,84,90,3.44,light snow
250,Jalu,LY,29.0331,21.5482,62.37,71,0,7.58,clear sky
251,Cefalu,IT,38.0386,14.0229,58.75,68,100,5.82,moderate rain
252,Naze,JP,28.3667,129.4833,68.92,61,74,11.68,broken clouds
253,Kaitangata,NZ,-46.2817,169.8464,53.92,79,84,12.17,broken clouds
254,Chesma,RU,53.8111,60.6533,17.06,81,100,16.42,overcast clouds
255,Geraldton,AU,-28.7667,114.6,70.21,60,75,5.75,broken clouds
256,Jiangyou,CN,31.7667,104.7167,50.02,86,100,1.45,overcast clouds
257,Bodden Town,KY,19.2833,-81.25,79.93,93,40,3.0,scattered clouds
258,Vicosa,BR,-20.7539,-42.8819,63.1,92,68,1.48,broken clouds
259,Itaituba,BR,-4.2761,-55.9836,77.4,89,97,2.98,overcast clouds
260,Bara,NG,10.3744,10.7288,75.7,25,63,1.83,broken clouds
261,Maceio,BR,-9.6658,-35.7353,78.24,83,0,8.05,clear sky
262,Zhadovka,RU,53.5746,46.9498,25.66,89,98,14.54,overcast clouds
263,Oytal,KZ,42.9057,73.2697,40.93,46,98,3.85,overcast clouds
264,Kars,TR,40.602,43.095,25.65,93,0,1.14,clear sky
265,Mao,ES,39.8885,4.2658,57.76,88,75,18.41,broken clouds
266,Mizdah,LY,31.4451,12.9801,58.41,32,2,2.77,clear sky
267,Cidreira,BR,-30.1811,-50.2056,68.95,94,99,4.99,moderate rain
268,Quelimane,MZ,-17.8786,36.8883,78.75,89,0,3.44,clear sky
269,Roma,US,43.2128,-75.4557,39.06,94,90,0.0,overcast clouds
270,Lakhipur,IN,26.0299,90.3041,62.15,84,12,6.33,light rain
271,East London,ZA,-33.0153,27.9116,64.63,89,100,14.56,light rain
272,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.24,97,98,1.92,overcast clouds
273,Vigrestad,NO,58.5667,5.7,48.99,92,100,22.46,light rain
274,Saint-Francois,FR,46.4154,3.9054,42.48,98,90,6.91,light intensity drizzle
275,Garden City,US,42.3256,-83.331,39.45,74,90,1.01,overcast clouds
